Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  5.47      0.07     0.07  6129438     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  5.08      0.14     0.07  5198802     0.00     0.00  __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >::operator++()
  4.69      0.20     0.06 11663588     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.91      0.25     0.05    41003     0.00     0.00  __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, CountPair>(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, CountPair const&)
  3.13      0.29     0.04  8452165     0.00     0.00  CountPair::operator<(CountPair const&) const
  3.13      0.33     0.04  3809899     0.00     0.00  __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >::operator--()
  3.13      0.37     0.04  1513559     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  3.13      0.41     0.04    29295     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::__detail::_Hash_node<std::pair<std::string const, long>, false>**, unsigned long)
  2.73      0.44     0.04  2502568     0.00     0.00  CountPair::CountPair(CountPair&&)
  2.34      0.47     0.03 14075406     0.00     0.00  __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >::operator*() const
  2.34      0.50     0.03  1266608     0.00     0.00  void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > >(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >)
  2.34      0.53     0.03   370231     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, int>(std::pair<bool, int>&&)
  1.95      0.56     0.03  3822946     0.00     0.00  CountPair::operator=(CountPair&&)
  1.95      0.58     0.03   522860     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, std::allocator<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::_Select1st<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::__detail::_Hash_node<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, false>*, std::string const&, unsigned long) const
  1.56      0.60     0.02  4213940     0.00     0.00  __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >::base() const
  1.56      0.62     0.02  3214002     0.00     0.00  CountPair::~CountPair()
  1.56      0.64     0.02  2825455     0.00     0.00  std::pair<std::string, std::string>::~pair()
  1.56      0.66     0.02  1266608     0.00     0.00  void std::swap<CountPair>(CountPair&, CountPair&)
  1.56      0.68     0.02   382001     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  1.56      0.70     0.02   355717     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, long>, false, false> std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket<std::pair<std::string, long> >(std::pair<std::string, long>&&, unsigned long, unsigned long)
  1.56      0.72     0.02   355717     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, long>, false>::_M_incr()
  1.56      0.74     0.02    40751     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<std::__detail::_Hash_node<std::pair<std::string const, long>, false>*>::__value, void>::__type std::__fill_a<std::__detail::_Hash_node<std::pair<std::string const, long>, false>**, std::__detail::_Hash_node<std::pair<std::string const, long>, false>*>(std::__detail::_Hash_node<std::pair<std::string const, long>, false>**, std::__detail::_Hash_node<std::pair<std::string const, long>, false>**, std::__detail::_Hash_node<std::pair<std::string const, long>, false>* const&)
  1.56      0.76     0.02     5859     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_Hashtable(std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true> const&)
  1.17      0.78     0.02  5247099     0.00     0.00  std::string&& std::forward<std::string>(std::remove_reference<std::string>::type&)
  1.17      0.79     0.02  1990890     0.00     0.00  std::pair<std::string, std::string>* std::__addressof<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&)
  1.17      0.81     0.02  1109582     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  1.17      0.82     0.02   711437     0.00     0.00  bool __gnu_cxx::operator!=<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > const&, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > const&)
  1.17      0.84     0.02   524287     0.00     0.00  std::move_iterator<CountPair*>::operator*() const
  1.17      0.85     0.02   524287     0.00     0.00  _ZSt10_ConstructI9CountPairIS0_EEvPT_DpOT0_
  0.78      0.86     0.01  2380814     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.78      0.87     0.01  2108999     0.00     0.00  std::string& std::forward<std::string&>(std::remove_reference<std::string&>::type&)
  0.78      0.88     0.01  1779735     0.00     0.00  std::pair<std::string, std::string>::pair<std::string, std::string>(std::pair<std::string, std::string>&&)
  0.78      0.89     0.01  1502094     0.00     0.00  std::_Hash_impl::hash(void const*, unsigned long, unsigned long)
  0.78      0.90     0.01  1104558     0.00     0.00  std::equal_to<std::string>::operator()(std::string const&, std::string const&) const
  0.78      0.91     0.01  1067151     0.00     0.00  std::pair<std::string const, long>::~pair()
  0.78      0.92     0.01   775772     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, unsigned long>(std::pair<bool, unsigned long>&&)
  0.78      0.93     0.01   734015     0.00     0.00  void std::_Construct<std::pair<std::string, std::string>, std::pair<std::string, std::string> >(std::pair<std::string, std::string>*, std::pair<std::string, std::string>&&)
  0.78      0.94     0.01   711434     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_node(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*)
  0.78      0.95     0.01   711434     0.00     0.00  std::pair<std::string, long>::~pair()
  0.78      0.96     0.01   711434     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, long>, false>::~_Hash_node()
  0.78      0.97     0.01   644206     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, std::_Select1st<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_compare(std::string const&, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, false>*) const
  0.78      0.98     0.01   522860     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > >::operator*() const
  0.78      0.99     0.01   522860     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*, std::string const&, unsigned long) const
  0.78      1.00     0.01   522860     0.00     0.00  std::pair<std::string, std::string>::pair<std::string&, std::string&, void>(std::string&, std::string&)
  0.78      1.01     0.01   522860     0.00     0.00  void std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > >::emplace_back<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&&)
  0.78      1.02     0.01   522860     0.00     0.00  std::__detail::_Map_base<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, true, std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true> >::operator[](std::string const&)
  0.78      1.03     0.01   370231     0.00     0.00  std::pair<bool, int>::pair<bool, int, void>(bool&&, int&&)
  0.78      1.04     0.01   367435     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, long>, false>::_Hashtable_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*, std::__detail::_Hash_node<std::pair<std::string const, long>, false>**)
  0.78      1.05     0.01   355717     0.00     0.00  CountPair::CountPair(std::string, std::string, long)
  0.78      1.06     0.01   355717     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, long>, false> >::construct<std::pair<std::string const, long>&>(std::__detail::_Hash_node<std::pair<std::string const, long>, false>*, std::pair<std::string const, long>&)
  0.78      1.07     0.01   355717     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, long>, false, false>::operator*() const
  0.78      1.08     0.01   355717     0.00     0.00  std::pair<std::string, long>::pair<std::string, long>(std::pair<std::string, long>&&)
  0.78      1.09     0.01   355714     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > >(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >)
  0.78      1.10     0.01   168188     0.00     0.00  std::vector<std::vector<std::string, std::allocator<std::string> >, std::allocator<std::vector<std::string, std::allocator<std::string> > > >::size() const
  0.78      1.11     0.01    41003     0.00     0.00  void std::__move_median_first<__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > > >(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, __gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >)
  0.78      1.12     0.01    38826     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned long, void const*)
  0.78      1.13     0.01    35118     0.00     0.00  _ZSt10_ConstructISsIRKSsEEvPT_DpOT0_
  0.78      1.14     0.01    30735     0.00     0.00  std::vector<std::vector<std::string, std::allocator<std::string> >, std::allocator<std::vector<std::string, std::allocator<std::string> > > >::_M_check_len(unsigned long, char const*) const
  0.78      1.15     0.01    26228     0.00     0.00  std::vector<std::vector<std::string, std::allocator<std::string> >, std::allocator<std::vector<std::string, std::allocator<std::string> > > >::operator[](unsigned long)
  0.78      1.16     0.01    11770     0.00     0.00  std::pair<std::__decay_and_strip<bool>::__type, std::__decay_and_strip<unsigned long const&>::__type> std::make_pair<bool, unsigned long const&>(bool&&, unsigned long const&)
  0.78      1.17     0.01    11456     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, long>, std::allocator<std::pair<std::string const, long> >, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_rehash(unsigned long)
  0.78      1.18     0.01     7908     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::pair<std::string, std::string>*>(std::pair<std::string, std::string>*, std::pair<std::string, std::string>*)
  0.78      1.19     0.01       80     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, long, CountPair>(__gnu_cxx::__normal_iterator<CountPair*, std::vector<CountPair, std::allocator<CountPair> > >, long, long, CountPair)
  0.78      1.20     0.01        1     0.01     0.02  std::_Hashtable<std::string, std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, std::allocator<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::_Select1st<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::__detail::_Hash_node<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, false>**, unsigned long)
  0.78      1.21     0.01                             main
  0.39      1.22     0.01  4127905     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
